day_of_date,date,cummulative_cases,daily_cases
1,2009/5/9,1,1
2,2009/5/10,2,1
3,2009/5/11,2,0
4,2009/5/12,2,0
5,2009/5/13,3,1
6,2009/5/14,4,1
7,2009/5/15,4,0
8,2009/5/16,4,0
9,2009/5/17,4,0
10,2009/5/18,4,0
11,2009/5/19,6,2
12,2009/5/20,9,3
13,2009/5/21,10,1
14,2009/5/22,12,2
15,2009/5/23,12,0
16,2009/5/24,14,2
17,2009/5/25,15,1
18,2009/5/26,18,3
19,2009/5/27,22,4
20,2009/5/28,27,5
21,2009/5/29,34,7
22,2009/5/30,46,12
23,2009/5/31,56,10
24,2009/6/1,64,8
25,2009/6/2,68,4
26,2009/6/3,72,4
27,2009/6/4,78,6
28,2009/6/5,88,10
29,2009/6/6,97,9
30,2009/6/7,109,12
31,2009/6/8,120,11
32,2009/6/9,138,18
33,2009/6/10,157,19
34,2009/6/11,184,27
35,2009/6/12,218,34
36,2009/6/13,247,29
37,2009/6/14,275,28
38,2009/6/15,299,24
39,2009/6/16,327,28
40,2009/6/17,357,30
41,2009/6/18,403,46
42,2009/6/19,448,45
43,2009/6/20,491,43
44,2009/6/21,530,39
45,2009/6/22,573,43
46,2009/6/23,621,48
47,2009/6/24,662,41
48,2009/6/25,725,63
49,2009/6/26,775,50
50,2009/6/27,833,58
51,2009/6/28,870,37
52,2009/6/29,919,49
53,2009/6/30,959,40
54,2009/7/1,1013,54
55,2009/7/2,1040,27
56,2009/7/3,1090,50
57,2009/7/4,1133,43
58,2009/7/5,1185,52
59,2009/7/6,1239,54
60,2009/7/7,1282,43
61,2009/7/8,1315,33
62,2009/7/9,1357,42
63,2009/7/10,1399,42
64,2009/7/11,1445,46
65,2009/7/12,1488,43
66,2009/7/13,1533,45
67,2009/7/14,1578,45
68,2009/7/15,1628,50
69,2009/7/16,1674,46
70,2009/7/17,1724,50
71,2009/7/18,1778,54
72,2009/7/19,1822,44
73,2009/7/20,1852,30
74,2009/7/21,1883,31
75,2009/7/22,1903,20
76,2009/7/23,1935,32
77,2009/7/24,1957,22
78,2009/7/25,1983,26
79,2009/7/26,2009,26
80,2009/7/27,2052,43
81,2009/7/28,2085,33
82,2009/7/29,2128,43
83,2009/7/30,2153,25
84,2009/7/31,2171,18
85,2009/8/1,2203,32
86,2009/8/2,2247,44
87,2009/8/3,2275,28
88,2009/8/4,2308,33
89,2009/8/5,2349,41
90,2009/8/6,2379,30
91,2009/8/7,2414,35
92,2009/8/8,2450,36
93,2009/8/9,2522,72
94,2009/8/10,2582,60
95,2009/8/11,2653,71
96,2009/8/12,2731,78
97,2009/8/13,2777,46
98,2009/8/14,2832,55
99,2009/8/15,2880,48
100,2009/8/16,2965,85
101,2009/8/17,3026,61
102,2009/8/18,3088,62
103,2009/8/19,3159,71
104,2009/8/20,3223,64
105,2009/8/21,3269,46
106,2009/8/22,3324,55
107,2009/8/23,3401,77
108,2009/8/24,3484,83
109,2009/8/25,3564,80
110,2009/8/26,3646,82
111,2009/8/27,3748,102
112,2009/8/28,3871,123
113,2009/8/29,3982,111
114,2009/8/30,4093,111
115,2009/8/31,4243,150
116,2009/9/1,4489,246
117,2009/9/2,4853,364
118,2009/9/3,5317,464
119,2009/9/4,5810,493
120,2009/9/5,6211,401
121,2009/9/6,6733,522
122,2009/9/7,7226,493
123,2009/9/8,7688,462
124,2009/9/9,8323,635
125,2009/9/10,8957,634
126,2009/9/11,9697,740
127,2009/9/12,10258,561
128,2009/9/13,10968,710
129,2009/9/14,11534,566
130,2009/9/15,12077,543
131,2009/9/16,12825,748
132,2009/9/17,13664,839
133,2009/9/18,14417,753
134,2009/9/19,15002,585
135,2009/9/20,15688,686
136,2009/9/21,16397,709
137,2009/9/22,17001,604
138,2009/9/23,17819,818
139,2009/9/24,18741,922
140,2009/9/25,19600,859
141,2009/9/26,20534,934
142,2009/9/27,21524,990
143,2009/9/28,22347,823
144,2009/9/29,22991,644
145,2009/9/30,23507,516
146,2009/10/1,23954,447
147,2009/10/2,24265,311
148,2009/10/3,24515,250
149,2009/10/4,24702,187
150,2009/10/5,24947,245
151,2009/10/6,25181,234
152,2009/10/7,25449,268
153,2009/10/8,25737,288
154,2009/10/9,26048,311
155,2009/10/10,26414,366
156,2009/10/11,27006,592
157,2009/10/12,27948,942
158,2009/10/13,28883,935
159,2009/10/14,30235,1352
160,2009/10/15,31499,1264
161,2009/10/16,32714,1215
162,2009/10/17,33613,899
163,2009/10/18,34811,1198
164,2009/10/19,36002,1191
165,2009/10/20,37098,1096
166,2009/10/21,38578,1480
167,2009/10/22,40113,1535
168,2009/10/23,41432,1319
169,2009/10/24,42594,1162
170,2009/10/25,44137,1543
171,2009/10/26,45760,1623
172,2009/10/27,47149,1389
173,2009/10/28,48793,1644
174,2009/10/29,50283,1490
175,2009/10/30,51638,1355
176,2009/10/31,52673,1035
177,2009/11/1,54141,1468
178,2009/11/2,55672,1531
179,2009/11/3,57101,1429
180,2009/11/4,58894,1793
181,2009/11/5,60647,1753
182,2009/11/6,62162,1515
183,2009/11/7,63479,1317
184,2009/11/8,64917,1438
185,2009/11/9,66476,1559
186,2009/11/10,67746,1270
187,2009/11/11,68900,1154
188,2009/11/12,70065,1165
189,2009/11/13,71169,1104
190,2009/11/14,72246,1077
191,2009/11/15,73642,1396
192,2009/11/16,75186,1544
193,2009/11/17,76620,1434
194,2009/11/18,78546,1926
195,2009/11/19,80437,1891
196,2009/11/20,82195,1758
197,2009/11/21,83667,1472
198,2009/11/22,85589,1922
199,2009/11/23,87871,2282
200,2009/11/24,89677,1806
201,2009/11/25,91588,1911
202,2009/11/26,93150,1562
203,2009/11/27,94554,1404
204,2009/11/28,95600,1046
205,2009/11/29,96729,1129
206,2009/11/30,98070,1341
207,2009/12/1,99672,1602
208,2009/12/2,101038,1366
209,2009/12/3,102264,1226
210,2009/12/4,103216,952
211,2009/12/5,104116,900
212,2009/12/6,105257,1141
213,2009/12/7,106508,1251
214,2009/12/8,107635,1127
215,2009/12/9,108702,1067
216,2009/12/10,109738,1036
217,2009/12/11,110606,868
218,2009/12/12,111351,745
219,2009/12/13,112179,828
220,2009/12/14,113077,898
221,2009/12/15,113882,805
222,2009/12/16,114560,678
223,2009/12/17,115159,599
224,2009/12/18,115719,560
225,2009/12/19,116235,516
226,2009/12/20,116903,668
227,2009/12/21,117548,645
228,2009/12/22,118161,613
229,2009/12/23,118737,576
230,2009/12/24,119227,490
231,2009/12/25,119584,357
232,2009/12/26,119929,345
233,2009/12/27,120309,380
234,2009/12/28,120764,455
235,2009/12/29,121171,407
236,2009/12/30,121531,360
237,2009/12/31,121805,274
